column,row,field,channel,rel_fp
G,4,3,1,MFGTMP_220411120001/MFGTMP_220411120001_G04f03d1.TIF
D,6,6,4,MFGTMP_220411120001/MFGTMP_220411120001_D06f06d4.TIF
D,11,0,4,MFGTMP_220411120001/MFGTMP_220411120001_D11f00d4.TIF
G,5,3,1,MFGTMP_220411120001/MFGTMP_220411120001_G05f03d1.TIF
B,3,2,1,MFGTMP_220411120001/MFGTMP_220411120001_B03f02d1.TIF
E,3,7,2,MFGTMP_220411120001/MFGTMP_220411120001_E03f07d2.TIF
E,2,7,2,MFGTMP_220411120001/MFGTMP_220411120001_E02f07d2.TIF
B,2,2,1,MFGTMP_220411120001/MFGTMP_220411120001_B02f02d1.TIF
B,5,7,0,MFGTMP_220411120001/MFGTMP_220411120001_B05f07d0.TIF
E,5,2,3,MFGTMP_220411120001/MFGTMP_220411120001_E05f02d3.TIF
E,4,2,3,MFGTMP_220411120001/MFGTMP_220411120001_E04f02d3.TIF
B,4,7,0,MFGTMP_220411120001/MFGTMP_220411120001_B04f07d0.TIF
B,4,7,1,MFGTMP_220411120001/MFGTMP_220411120001_B04f07d1.TIF
E,4,2,2,MFGTMP_220411120001/MFGTMP_220411120001_E04f02d2.TIF
E,5,2,2,MFGTMP_220411120001/MFGTMP_220411120001_E05f02d2.TIF
B,5,7,1,MFGTMP_220411120001/MFGTMP_220411120001_B05f07d1.TIF
B,2,2,0,MFGTMP_220411120001/MFGTMP_220411120001_B02f02d0.TIF
E,2,7,3,MFGTMP_220411120001/MFGTMP_220411120001_E02f07d3.TIF
G,9,0,4,MFGTMP_220411120001/MFGTMP_220411120001_G09f00d4.TIF
E,3,7,3,MFGTMP_220411120001/MFGTMP_220411120001_E03f07d3.TIF
G,8,0,4,MFGTMP_220411120001/MFGTMP_220411120001_G08f00d4.TIF
B,3,2,0,MFGTMP_220411120001/MFGTMP_220411120001_B03f02d0.TIF
G,5,3,0,MFGTMP_220411120001/MFGTMP_220411120001_G05f03d0.TIF
G,4,3,0,MFGTMP_220411120001/MFGTMP_220411120001_G04f03d0.TIF
G,3,6,1,MFGTMP_220411120001/MFGTMP_220411120001_G03f06d1.TIF
G,2,6,1,MFGTMP_220411120001/MFGTMP_220411120001_G02f06d1.TIF
E,4,0,0,MFGTMP_220411120001/MFGTMP_220411120001_E04f00d0.TIF
B,4,5,3,MFGTMP_220411120001/MFGTMP_220411120001_B04f05d3.TIF
B,5,5,3,MFGTMP_220411120001/MFGTMP_220411120001_B05f05d3.TIF
E,5,0,0,MFGTMP_220411120001/MFGTMP_220411120001_E05f00d0.TIF
E,2,5,1,MFGTMP_220411120001/MFGTMP_220411120001_E02f05d1.TIF
B,2,0,2,MFGTMP_220411120001/MFGTMP_220411120001_B02f00d2.TIF
B,3,0,2,MFGTMP_220411120001/MFGTMP_220411120001_B03f00d2.TIF
E,3,5,1,MFGTMP_220411120001/MFGTMP_220411120001_E03f05d1.TIF
G,5,1,2,MFGTMP_220411120001/MFGTMP_220411120001_G05f01d2.TIF
G,6,8,4,MFGTMP_220411120001/MFGTMP_220411120001_G06f08d4.TIF
C,5,8,2,MFGTMP_220411120001/MFGTMP_220411120001_C05f08d2.TIF
C,6,1,4,MFGTMP_220411120001/MFGTMP_220411120001_C06f01d4.TIF
C,11,7,4,MFGTMP_220411120001/MFGTMP_220411120001_C11f07d4.TIF
G,7,8,4,MFGTMP_220411120001/MFGTMP_220411120001_G07f08d4.TIF
G,4,1,2,MFGTMP_220411120001/MFGTMP_220411120001_G04f01d2.TIF
