column,row,field,channel,rel_fp
B,7,8,2,MFGTMP_220411120001/MFGTMP_220411120001_B07f08d2.TIF
B,4,1,4,MFGTMP_220411120001/MFGTMP_220411120001_B04f01d4.TIF
F,5,8,4,MFGTMP_220411120001/MFGTMP_220411120001_F05f08d4.TIF
F,6,1,2,MFGTMP_220411120001/MFGTMP_220411120001_F06f01d2.TIF
F,11,7,2,MFGTMP_220411120001/MFGTMP_220411120001_F11f07d2.TIF
B,5,1,4,MFGTMP_220411120001/MFGTMP_220411120001_B05f01d4.TIF
B,6,8,2,MFGTMP_220411120001/MFGTMP_220411120001_B06f08d2.TIF
G,9,6,1,MFGTMP_220411120001/MFGTMP_220411120001_G09f06d1.TIF
G,8,6,1,MFGTMP_220411120001/MFGTMP_220411120001_G08f06d1.TIF
D,11,6,0,MFGTMP_220411120001/MFGTMP_220411120001_D11f06d0.TIF
C,11,3,3,MFGTMP_220411120001/MFGTMP_220411120001_C11f03d3.TIF
C,6,5,3,MFGTMP_220411120001/MFGTMP_220411120001_C06f05d3.TIF
D,6,0,0,MFGTMP_220411120001/MFGTMP_220411120001_D06f00d0.TIF
C,10,3,3,MFGTMP_220411120001/MFGTMP_220411120001_C10f03d3.TIF
D,10,6,0,MFGTMP_220411120001/MFGTMP_220411120001_D10f06d0.TIF
D,7,0,0,MFGTMP_220411120001/MFGTMP_220411120001_D07f00d0.TIF
C,7,5,3,MFGTMP_220411120001/MFGTMP_220411120001_C07f05d3.TIF
G,3,0,4,MFGTMP_220411120001/MFGTMP_220411120001_G03f00d4.TIF
E,8,7,3,MFGTMP_220411120001/MFGTMP_220411120001_E08f07d3.TIF
B,8,2,0,MFGTMP_220411120001/MFGTMP_220411120001_B08f02d0.TIF
B,9,2,0,MFGTMP_220411120001/MFGTMP_220411120001_B09f02d0.TIF
G,2,0,4,MFGTMP_220411120001/MFGTMP_220411120001_G02f00d4.TIF
E,9,7,3,MFGTMP_220411120001/MFGTMP_220411120001_E09f07d3.TIF
D,7,0,4,MFGTMP_220411120001/MFGTMP_220411120001_D07f00d4.TIF
D,10,6,4,MFGTMP_220411120001/MFGTMP_220411120001_D10f06d4.TIF
G,4,5,1,MFGTMP_220411120001/MFGTMP_220411120001_G04f05d1.TIF
D,6,0,4,MFGTMP_220411120001/MFGTMP_220411120001_D06f00d4.TIF
D,11,6,4,MFGTMP_220411120001/MFGTMP_220411120001_D11f06d4.TIF
G,5,5,1,MFGTMP_220411120001/MFGTMP_220411120001_G05f05d1.TIF
B,9,2,4,MFGTMP_220411120001/MFGTMP_220411120001_B09f02d4.TIF
G,2,0,0,MFGTMP_220411120001/MFGTMP_220411120001_G02f00d0.TIF
G,3,0,0,MFGTMP_220411120001/MFGTMP_220411120001_G03f00d0.TIF
B,8,2,4,MFGTMP_220411120001/MFGTMP_220411120001_B08f02d4.TIF
E,5,4,3,MFGTMP_220411120001/MFGTMP_220411120001_E05f04d3.TIF
B,5,1,0,MFGTMP_220411120001/MFGTMP_220411120001_B05f01d0.TIF
F,5,8,0,MFGTMP_220411120001/MFGTMP_220411120001_F05f08d0.TIF
B,4,1,0,MFGTMP_220411120001/MFGTMP_220411120001_B04f01d0.TIF
E,4,4,3,MFGTMP_220411120001/MFGTMP_220411120001_E04f04d3.TIF
F,4,8,0,MFGTMP_220411120001/MFGTMP_220411120001_F04f08d0.TIF
E,3,1,2,MFGTMP_220411120001/MFGTMP_220411120001_E03f01d2.TIF
B,3,4,1,MFGTMP_220411120001/MFGTMP_220411120001_B03f04d1.TIF
B,2,4,1,MFGTMP_220411120001/MFGTMP_220411120001_B02f04d1.TIF
E,2,1,2,MFGTMP_220411120001/MFGTMP_220411120001_E02f01d2.TIF
G,4,7,3,MFGTMP_220411120001/MFGTMP_220411120001_G04f07d3.TIF
G,5,7,3,MFGTMP_220411120001/MFGTMP_220411120001_G05f07d3.TIF
G,2,2,2,MFGTMP_220411120001/MFGTMP_220411120001_G02f02d2.TIF
G,3,2,2,MFGTMP_220411120001/MFGTMP_220411120001_G03f02d2.TIF
F,6,3,4,MFGTMP_220411120001/MFGTMP_220411120001_F06f03d4.TIF
F,11,5,4,MFGTMP_220411120001/MFGTMP_220411120001_F11f05d4.TIF
B,5,3,2,MFGTMP_220411120001/MFGTMP_220411120001_B05f03d2.TIF
E,5,6,1,MFGTMP_220411120001/MFGTMP_220411120001_E05f06d1.TIF
F,7,3,4,MFGTMP_220411120001/MFGTMP_220411120001_F07f03d4.TIF
F,10,5,4,MFGTMP_220411120001/MFGTMP_220411120001_F10f05d4.TIF
E,4,6,1,MFGTMP_220411120001/MFGTMP_220411120001_E04f06d1.TIF
B,4,3,2,MFGTMP_220411120001/MFGTMP_220411120001_B04f03d2.TIF
B,3,6,3,MFGTMP_220411120001/MFGTMP_220411120001_B03f06d3.TIF
E,3,3,0,MFGTMP_220411120001/MFGTMP_220411120001_E03f03d0.TIF
D,8,8,4,MFGTMP_220411120001/MFGTMP_220411120001_D08f08d4.TIF
E,2,3,0,MFGTMP_220411120001/MFGTMP_220411120001_E02f03d0.TIF
B,2,6,3,MFGTMP_220411120001/MFGTMP_220411120001_B02f06d3.TIF
D,9,8,4,MFGTMP_220411120001/MFGTMP_220411120001_D09f08d4.TIF
G,6,8,3,MFGTMP_220411120001/MFGTMP_220411120001_G06f08d3.TIF
C,11,7,3,MFGTMP_220411120001/MFGTMP_220411120001_C11f07d3.TIF
D,11,2,0,MFGTMP_220411120001/MFGTMP_220411120001_D11f02d0.TIF
D,6,4,0,MFGTMP_220411120001/MFGTMP_220411120001_D06f04d0.TIF
C,6,1,3,MFGTMP_220411120001/MFGTMP_220411120001_C06f01d3.TIF
G,7,8,3,MFGTMP_220411120001/MFGTMP_220411120001_G07f08d3.TIF
D,10,2,0,MFGTMP_220411120001/MFGTMP_220411120001_D10f02d0.TIF
C,10,7,3,MFGTMP_220411120001/MFGTMP_220411120001_C10f07d3.TIF
C,7,1,3,MFGTMP_220411120001/MFGTMP_220411120001_C07f01d3.TIF
D,7,4,0,MFGTMP_220411120001/MFGTMP_220411120001_D07f04d0.TIF
B,8,6,0,MFGTMP_220411120001/MFGTMP_220411120001_B08f06d0.TIF
G,3,4,4,MFGTMP_220411120001/MFGTMP_220411120001_G03f04d4.TIF
E,8,3,3,MFGTMP_220411120001/MFGTMP_220411120001_E08f03d3.TIF
G,2,4,4,MFGTMP_220411120001/MFGTMP_220411120001_G02f04d4.TIF
E,9,3,3,MFGTMP_220411120001/MFGTMP_220411120001_E09f03d3.TIF
B,9,6,0,MFGTMP_220411120001/MFGTMP_220411120001_B09f06d0.TIF
F,7,5,2,MFGTMP_220411120001/MFGTMP_220411120001_F07f05d2.TIF
F,10,3,2,MFGTMP_220411120001/MFGTMP_220411120001_F10f03d2.TIF
B,4,5,4,MFGTMP_220411120001/MFGTMP_220411120001_B04f05d4.TIF
F,6,5,2,MFGTMP_220411120001/MFGTMP_220411120001_F06f05d2.TIF
F,11,3,2,MFGTMP_220411120001/MFGTMP_220411120001_F11f03d2.TIF
B,5,5,4,MFGTMP_220411120001/MFGTMP_220411120001_B05f05d4.TIF
G,9,2,1,MFGTMP_220411120001/MFGTMP_220411120001_G09f02d1.TIF
G,8,2,1,MFGTMP_220411120001/MFGTMP_220411120001_G08f02d1.TIF
C,6,3,1,MFGTMP_220411120001/MFGTMP_220411120001_C06f03d1.TIF
D,6,6,2,MFGTMP_220411120001/MFGTMP_220411120001_D06f06d2.TIF
D,11,0,2,MFGTMP_220411120001/MFGTMP_220411120001_D11f00d2.TIF
C,11,5,1,MFGTMP_220411120001/MFGTMP_220411120001_C11f05d1.TIF
D,7,6,2,MFGTMP_220411120001/MFGTMP_220411120001_D07f06d2.TIF
C,7,3,1,MFGTMP_220411120001/MFGTMP_220411120001_C07f03d1.TIF
C,10,5,1,MFGTMP_220411120001/MFGTMP_220411120001_C10f05d1.TIF
D,10,0,2,MFGTMP_220411120001/MFGTMP_220411120001_D10f00d2.TIF
E,8,1,1,MFGTMP_220411120001/MFGTMP_220411120001_E08f01d1.TIF
B,8,4,2,MFGTMP_220411120001/MFGTMP_220411120001_B08f04d2.TIF
B,9,4,2,MFGTMP_220411120001/MFGTMP_220411120001_B09f04d2.TIF
E,9,1,1,MFGTMP_220411120001/MFGTMP_220411120001_E09f01d1.TIF
B,10,8,0,MFGTMP_220411120001/MFGTMP_220411120001_B10f08d0.TIF
F,10,1,0,MFGTMP_220411120001/MFGTMP_220411120001_F10f01d0.TIF
F,7,7,0,MFGTMP_220411120001/MFGTMP_220411120001_F07f07d0.TIF
B,11,8,0,MFGTMP_220411120001/MFGTMP_220411120001_B11f08d0.TIF
F,11,1,0,MFGTMP_220411120001/MFGTMP_220411120001_F11f01d0.TIF
F,6,7,0,MFGTMP_220411120001/MFGTMP_220411120001_F06f07d0.TIF
E,2,7,4,MFGTMP_220411120001/MFGTMP_220411120001_E02f07d4.TIF
G,9,0,3,MFGTMP_220411120001/MFGTMP_220411120001_G09f00d3.TIF
E,3,7,4,MFGTMP_220411120001/MFGTMP_220411120001_E03f07d4.TIF
G,8,0,3,MFGTMP_220411120001/MFGTMP_220411120001_G08f00d3.TIF
G,8,0,2,MFGTMP_220411120001/MFGTMP_220411120001_G08f00d2.TIF
G,9,0,2,MFGTMP_220411120001/MFGTMP_220411120001_G09f00d2.TIF
E,5,2,4,MFGTMP_220411120001/MFGTMP_220411120001_E05f02d4.TIF
B,11,8,1,MFGTMP_220411120001/MFGTMP_220411120001_B11f08d1.TIF
F,6,7,1,MFGTMP_220411120001/MFGTMP_220411120001_F06f07d1.TIF
F,11,1,1,MFGTMP_220411120001/MFGTMP_220411120001_F11f01d1.TIF
B,10,8,1,MFGTMP_220411120001/MFGTMP_220411120001_B10f08d1.TIF
E,4,2,4,MFGTMP_220411120001/MFGTMP_220411120001_E04f02d4.TIF
F,7,7,1,MFGTMP_220411120001/MFGTMP_220411120001_F07f07d1.TIF
F,10,1,1,MFGTMP_220411120001/MFGTMP_220411120001_F10f01d1.TIF
E,9,1,0,MFGTMP_220411120001/MFGTMP_220411120001_E09f01d0.TIF
B,9,4,3,MFGTMP_220411120001/MFGTMP_220411120001_B09f04d3.TIF
B,8,4,3,MFGTMP_220411120001/MFGTMP_220411120001_B08f04d3.TIF
E,8,1,0,MFGTMP_220411120001/MFGTMP_220411120001_E08f01d0.TIF
D,10,0,3,MFGTMP_220411120001/MFGTMP_220411120001_D10f00d3.TIF
C,10,5,0,MFGTMP_220411120001/MFGTMP_220411120001_C10f05d0.TIF
C,7,3,0,MFGTMP_220411120001/MFGTMP_220411120001_C07f03d0.TIF
D,7,6,3,MFGTMP_220411120001/MFGTMP_220411120001_D07f06d3.TIF
C,11,5,0,MFGTMP_220411120001/MFGTMP_220411120001_C11f05d0.TIF
D,11,0,3,MFGTMP_220411120001/MFGTMP_220411120001_D11f00d3.TIF
D,6,6,3,MFGTMP_220411120001/MFGTMP_220411120001_D06f06d3.TIF
C,6,3,0,MFGTMP_220411120001/MFGTMP_220411120001_C06f03d0.TIF
G,8,2,0,MFGTMP_220411120001/MFGTMP_220411120001_G08f02d0.TIF
B,3,0,4,MFGTMP_220411120001/MFGTMP_220411120001_B03f00d4.TIF
B,2,0,4,MFGTMP_220411120001/MFGTMP_220411120001_B02f00d4.TIF
G,9,2,0,MFGTMP_220411120001/MFGTMP_220411120001_G09f02d0.TIF
F,11,3,3,MFGTMP_220411120001/MFGTMP_220411120001_F11f03d3.TIF
F,6,5,3,MFGTMP_220411120001/MFGTMP_220411120001_F06f05d3.TIF
F,10,3,3,MFGTMP_220411120001/MFGTMP_220411120001_F10f03d3.TIF
F,7,5,3,MFGTMP_220411120001/MFGTMP_220411120001_F07f05d3.TIF
B,9,6,1,MFGTMP_220411120001/MFGTMP_220411120001_B09f06d1.TIF
E,9,3,2,MFGTMP_220411120001/MFGTMP_220411120001_E09f03d2.TIF
E,8,3,2,MFGTMP_220411120001/MFGTMP_220411120001_E08f03d2.TIF
B,8,6,1,MFGTMP_220411120001/MFGTMP_220411120001_B08f06d1.TIF
G,7,8,2,MFGTMP_220411120001/MFGTMP_220411120001_G07f08d2.TIF
G,4,1,4,MFGTMP_220411120001/MFGTMP_220411120001_G04f01d4.TIF
D,7,4,1,MFGTMP_220411120001/MFGTMP_220411120001_D07f04d1.TIF
C,7,1,2,MFGTMP_220411120001/MFGTMP_220411120001_C07f01d2.TIF
C,10,7,2,MFGTMP_220411120001/MFGTMP_220411120001_C10f07d2.TIF
D,10,2,1,MFGTMP_220411120001/MFGTMP_220411120001_D10f02d1.TIF
C,4,8,4,MFGTMP_220411120001/MFGTMP_220411120001_C04f08d4.TIF
G,5,1,4,MFGTMP_220411120001/MFGTMP_220411120001_G05f01d4.TIF
G,6,8,2,MFGTMP_220411120001/MFGTMP_220411120001_G06f08d2.TIF
C,5,8,4,MFGTMP_220411120001/MFGTMP_220411120001_C05f08d4.TIF
C,6,1,2,MFGTMP_220411120001/MFGTMP_220411120001_C06f01d2.TIF
D,6,4,1,MFGTMP_220411120001/MFGTMP_220411120001_D06f04d1.TIF
D,11,2,1,MFGTMP_220411120001/MFGTMP_220411120001_D11f02d1.TIF
C,11,7,2,MFGTMP_220411120001/MFGTMP_220411120001_C11f07d2.TIF
B,2,6,2,MFGTMP_220411120001/MFGTMP_220411120001_B02f06d2.TIF
E,2,3,1,MFGTMP_220411120001/MFGTMP_220411120001_E02f03d1.TIF
E,3,3,1,MFGTMP_220411120001/MFGTMP_220411120001_E03f03d1.TIF
B,3,6,2,MFGTMP_220411120001/MFGTMP_220411120001_B03f06d2.TIF
B,4,3,3,MFGTMP_220411120001/MFGTMP_220411120001_B04f03d3.TIF
E,4,6,0,MFGTMP_220411120001/MFGTMP_220411120001_E04f06d0.TIF
E,5,6,0,MFGTMP_220411120001/MFGTMP_220411120001_E05f06d0.TIF
B,5,3,3,MFGTMP_220411120001/MFGTMP_220411120001_B05f03d3.TIF
G,3,2,3,MFGTMP_220411120001/MFGTMP_220411120001_G03f02d3.TIF
E,8,5,4,MFGTMP_220411120001/MFGTMP_220411120001_E08f05d4.TIF
G,2,2,3,MFGTMP_220411120001/MFGTMP_220411120001_G02f02d3.TIF
E,9,5,4,MFGTMP_220411120001/MFGTMP_220411120001_E09f05d4.TIF
G,5,7,2,MFGTMP_220411120001/MFGTMP_220411120001_G05f07d2.TIF
G,11,8,4,MFGTMP_220411120001/MFGTMP_220411120001_G11f08d4.TIF
C,6,7,4,MFGTMP_220411120001/MFGTMP_220411120001_C06f07d4.TIF
C,11,1,4,MFGTMP_220411120001/MFGTMP_220411120001_C11f01d4.TIF
G,10,8,4,MFGTMP_220411120001/MFGTMP_220411120001_G10f08d4.TIF
G,4,7,2,MFGTMP_220411120001/MFGTMP_220411120001_G04f07d2.TIF
C,7,7,4,MFGTMP_220411120001/MFGTMP_220411120001_C07f07d4.TIF
C,10,1,4,MFGTMP_220411120001/MFGTMP_220411120001_C10f01d4.TIF
E,2,1,3,MFGTMP_220411120001/MFGTMP_220411120001_E02f01d3.TIF
G,9,6,4,MFGTMP_220411120001/MFGTMP_220411120001_G09f06d4.TIF
B,2,4,0,MFGTMP_220411120001/MFGTMP_220411120001_B02f04d0.TIF
B,3,4,0,MFGTMP_220411120001/MFGTMP_220411120001_B03f04d0.TIF
E,3,1,3,MFGTMP_220411120001/MFGTMP_220411120001_E03f01d3.TIF
G,8,6,4,MFGTMP_220411120001/MFGTMP_220411120001_G08f06d4.TIF
E,4,4,2,MFGTMP_220411120001/MFGTMP_220411120001_E04f04d2.TIF
B,4,1,1,MFGTMP_220411120001/MFGTMP_220411120001_B04f01d1.TIF
F,4,8,1,MFGTMP_220411120001/MFGTMP_220411120001_F04f08d1.TIF
B,5,1,1,MFGTMP_220411120001/MFGTMP_220411120001_B05f01d1.TIF
E,5,4,2,MFGTMP_220411120001/MFGTMP_220411120001_E05f04d2.TIF
F,5,8,1,MFGTMP_220411120001/MFGTMP_220411120001_F05f08d1.TIF
G,3,0,1,MFGTMP_220411120001/MFGTMP_220411120001_G03f00d1.TIF
G,2,0,1,MFGTMP_220411120001/MFGTMP_220411120001_G02f00d1.TIF
G,5,5,0,MFGTMP_220411120001/MFGTMP_220411120001_G05f05d0.TIF
G,4,5,0,MFGTMP_220411120001/MFGTMP_220411120001_G04f05d0.TIF
G,5,5,2,MFGTMP_220411120001/MFGTMP_220411120001_G05f05d2.TIF
C,6,5,4,MFGTMP_220411120001/MFGTMP_220411120001_C06f05d4.TIF
C,11,3,4,MFGTMP_220411120001/MFGTMP_220411120001_C11f03d4.TIF
G,4,5,2,MFGTMP_220411120001/MFGTMP_220411120001_G04f05d2.TIF
C,7,5,4,MFGTMP_220411120001/MFGTMP_220411120001_C07f05d4.TIF
C,10,3,4,MFGTMP_220411120001/MFGTMP_220411120001_C10f03d4.TIF
G,3,0,3,MFGTMP_220411120001/MFGTMP_220411120001_G03f00d3.TIF
E,8,7,4,MFGTMP_220411120001/MFGTMP_220411120001_E08f07d4.TIF
G,2,0,3,MFGTMP_220411120001/MFGTMP_220411120001_G02f00d3.TIF
E,9,7,4,MFGTMP_220411120001/MFGTMP_220411120001_E09f07d4.TIF
F,4,8,3,MFGTMP_220411120001/MFGTMP_220411120001_F04f08d3.TIF
B,4,1,3,MFGTMP_220411120001/MFGTMP_220411120001_B04f01d3.TIF
E,4,4,0,MFGTMP_220411120001/MFGTMP_220411120001_E04f04d0.TIF
F,5,8,3,MFGTMP_220411120001/MFGTMP_220411120001_F05f08d3.TIF
E,5,4,0,MFGTMP_220411120001/MFGTMP_220411120001_E05f04d0.TIF
B,5,1,3,MFGTMP_220411120001/MFGTMP_220411120001_B05f01d3.TIF
B,2,4,2,MFGTMP_220411120001/MFGTMP_220411120001_B02f04d2.TIF
E,2,1,1,MFGTMP_220411120001/MFGTMP_220411120001_E02f01d1.TIF
E,3,1,1,MFGTMP_220411120001/MFGTMP_220411120001_E03f01d1.TIF
B,3,4,2,MFGTMP_220411120001/MFGTMP_220411120001_B03f04d2.TIF
G,5,7,0,MFGTMP_220411120001/MFGTMP_220411120001_G05f07d0.TIF
G,4,7,0,MFGTMP_220411120001/MFGTMP_220411120001_G04f07d0.TIF
G,3,2,1,MFGTMP_220411120001/MFGTMP_220411120001_G03f02d1.TIF
G,2,2,1,MFGTMP_220411120001/MFGTMP_220411120001_G02f02d1.TIF
E,4,6,2,MFGTMP_220411120001/MFGTMP_220411120001_E04f06d2.TIF
B,4,3,1,MFGTMP_220411120001/MFGTMP_220411120001_B04f03d1.TIF
B,5,3,1,MFGTMP_220411120001/MFGTMP_220411120001_B05f03d1.TIF
E,5,6,2,MFGTMP_220411120001/MFGTMP_220411120001_E05f06d2.TIF
E,2,3,3,MFGTMP_220411120001/MFGTMP_220411120001_E02f03d3.TIF
G,9,4,4,MFGTMP_220411120001/MFGTMP_220411120001_G09f04d4.TIF
B,2,6,0,MFGTMP_220411120001/MFGTMP_220411120001_B02f06d0.TIF
B,3,6,0,MFGTMP_220411120001/MFGTMP_220411120001_B03f06d0.TIF
E,3,3,3,MFGTMP_220411120001/MFGTMP_220411120001_E03f03d3.TIF
G,8,4,4,MFGTMP_220411120001/MFGTMP_220411120001_G08f04d4.TIF
D,10,2,3,MFGTMP_220411120001/MFGTMP_220411120001_D10f02d3.TIF
C,10,7,0,MFGTMP_220411120001/MFGTMP_220411120001_C10f07d0.TIF
C,7,1,0,MFGTMP_220411120001/MFGTMP_220411120001_C07f01d0.TIF
D,7,4,3,MFGTMP_220411120001/MFGTMP_220411120001_D07f04d3.TIF
G,7,8,0,MFGTMP_220411120001/MFGTMP_220411120001_G07f08d0.TIF
C,11,7,0,MFGTMP_220411120001/MFGTMP_220411120001_C11f07d0.TIF
D,11,2,3,MFGTMP_220411120001/MFGTMP_220411120001_D11f02d3.TIF
D,6,4,3,MFGTMP_220411120001/MFGTMP_220411120001_D06f04d3.TIF
C,6,1,0,MFGTMP_220411120001/MFGTMP_220411120001_C06f01d0.TIF
G,6,8,0,MFGTMP_220411120001/MFGTMP_220411120001_G06f08d0.TIF
E,9,3,0,MFGTMP_220411120001/MFGTMP_220411120001_E09f03d0.TIF
B,9,6,3,MFGTMP_220411120001/MFGTMP_220411120001_B09f06d3.TIF
D,2,8,4,MFGTMP_220411120001/MFGTMP_220411120001_D02f08d4.TIF
B,8,6,3,MFGTMP_220411120001/MFGTMP_220411120001_B08f06d3.TIF
E,8,3,0,MFGTMP_220411120001/MFGTMP_220411120001_E08f03d0.TIF
D,3,8,4,MFGTMP_220411120001/MFGTMP_220411120001_D03f08d4.TIF
E,5,0,4,MFGTMP_220411120001/MFGTMP_220411120001_E05f00d4.TIF
F,6,5,1,MFGTMP_220411120001/MFGTMP_220411120001_F06f05d1.TIF
F,11,3,1,MFGTMP_220411120001/MFGTMP_220411120001_F11f03d1.TIF
E,4,0,4,MFGTMP_220411120001/MFGTMP_220411120001_E04f00d4.TIF
F,7,5,1,MFGTMP_220411120001/MFGTMP_220411120001_F07f05d1.TIF
F,10,3,1,MFGTMP_220411120001/MFGTMP_220411120001_F10f03d1.TIF
G,8,2,2,MFGTMP_220411120001/MFGTMP_220411120001_G08f02d2.TIF
G,9,2,2,MFGTMP_220411120001/MFGTMP_220411120001_G09f02d2.TIF
G,4,3,4,MFGTMP_220411120001/MFGTMP_220411120001_G04f03d4.TIF
D,7,6,1,MFGTMP_220411120001/MFGTMP_220411120001_D07f06d1.TIF
C,7,3,2,MFGTMP_220411120001/MFGTMP_220411120001_C07f03d2.TIF
C,10,5,2,MFGTMP_220411120001/MFGTMP_220411120001_C10f05d2.TIF
D,10,0,1,MFGTMP_220411120001/MFGTMP_220411120001_D10f00d1.TIF
G,5,3,4,MFGTMP_220411120001/MFGTMP_220411120001_G05f03d4.TIF
C,6,3,2,MFGTMP_220411120001/MFGTMP_220411120001_C06f03d2.TIF
D,6,6,1,MFGTMP_220411120001/MFGTMP_220411120001_D06f06d1.TIF
D,11,0,1,MFGTMP_220411120001/MFGTMP_220411120001_D11f00d1.TIF
C,11,5,2,MFGTMP_220411120001/MFGTMP_220411120001_C11f05d2.TIF
B,9,4,1,MFGTMP_220411120001/MFGTMP_220411120001_B09f04d1.TIF
E,9,1,2,MFGTMP_220411120001/MFGTMP_220411120001_E09f01d2.TIF
E,8,1,2,MFGTMP_220411120001/MFGTMP_220411120001_E08f01d2.TIF
B,8,4,1,MFGTMP_220411120001/MFGTMP_220411120001_B08f04d1.TIF
F,11,1,3,MFGTMP_220411120001/MFGTMP_220411120001_F11f01d3.TIF
F,6,7,3,MFGTMP_220411120001/MFGTMP_220411120001_F06f07d3.TIF
B,11,8,3,MFGTMP_220411120001/MFGTMP_220411120001_B11f08d3.TIF
F,10,1,3,MFGTMP_220411120001/MFGTMP_220411120001_F10f01d3.TIF
F,7,7,3,MFGTMP_220411120001/MFGTMP_220411120001_F07f07d3.TIF
B,10,8,3,MFGTMP_220411120001/MFGTMP_220411120001_B10f08d3.TIF
G,8,0,0,MFGTMP_220411120001/MFGTMP_220411120001_G08f00d0.TIF
B,3,2,4,MFGTMP_220411120001/MFGTMP_220411120001_B03f02d4.TIF
B,2,2,4,MFGTMP_220411120001/MFGTMP_220411120001_B02f02d4.TIF
G,9,0,0,MFGTMP_220411120001/MFGTMP_220411120001_G09f00d0.TIF
G,9,0,1,MFGTMP_220411120001/MFGTMP_220411120001_G09f00d1.TIF
G,8,0,1,MFGTMP_220411120001/MFGTMP_220411120001_G08f00d1.TIF
F,7,7,2,MFGTMP_220411120001/MFGTMP_220411120001_F07f07d2.TIF
F,10,1,2,MFGTMP_220411120001/MFGTMP_220411120001_F10f01d2.TIF
B,10,8,2,MFGTMP_220411120001/MFGTMP_220411120001_B10f08d2.TIF
B,4,7,4,MFGTMP_220411120001/MFGTMP_220411120001_B04f07d4.TIF
F,6,7,2,MFGTMP_220411120001/MFGTMP_220411120001_F06f07d2.TIF
F,11,1,2,MFGTMP_220411120001/MFGTMP_220411120001_F11f01d2.TIF
B,5,7,4,MFGTMP_220411120001/MFGTMP_220411120001_B05f07d4.TIF
B,11,8,2,MFGTMP_220411120001/MFGTMP_220411120001_B11f08d2.TIF
B,8,4,0,MFGTMP_220411120001/MFGTMP_220411120001_B08f04d0.TIF
G,3,6,4,MFGTMP_220411120001/MFGTMP_220411120001_G03f06d4.TIF
E,8,1,3,MFGTMP_220411120001/MFGTMP_220411120001_E08f01d3.TIF
G,2,6,4,MFGTMP_220411120001/MFGTMP_220411120001_G02f06d4.TIF
E,9,1,3,MFGTMP_220411120001/MFGTMP_220411120001_E09f01d3.TIF
B,9,4,0,MFGTMP_220411120001/MFGTMP_220411120001_B09f04d0.TIF
C,11,5,3,MFGTMP_220411120001/MFGTMP_220411120001_C11f05d3.TIF
D,11,0,0,MFGTMP_220411120001/MFGTMP_220411120001_D11f00d0.TIF
D,6,6,0,MFGTMP_220411120001/MFGTMP_220411120001_D06f06d0.TIF
C,6,3,3,MFGTMP_220411120001/MFGTMP_220411120001_C06f03d3.TIF
D,10,0,0,MFGTMP_220411120001/MFGTMP_220411120001_D10f00d0.TIF
C,10,5,3,MFGTMP_220411120001/MFGTMP_220411120001_C10f05d3.TIF
C,7,3,3,MFGTMP_220411120001/MFGTMP_220411120001_C07f03d3.TIF
D,7,6,0,MFGTMP_220411120001/MFGTMP_220411120001_D07f06d0.TIF
E,2,5,4,MFGTMP_220411120001/MFGTMP_220411120001_E02f05d4.TIF
G,9,2,3,MFGTMP_220411120001/MFGTMP_220411120001_G09f02d3.TIF
E,3,5,4,MFGTMP_220411120001/MFGTMP_220411120001_E03f05d4.TIF
G,8,2,3,MFGTMP_220411120001/MFGTMP_220411120001_G08f02d3.TIF
F,10,3,0,MFGTMP_220411120001/MFGTMP_220411120001_F10f03d0.TIF
F,7,5,0,MFGTMP_220411120001/MFGTMP_220411120001_F07f05d0.TIF
F,11,3,0,MFGTMP_220411120001/MFGTMP_220411120001_F11f03d0.TIF
F,6,5,0,MFGTMP_220411120001/MFGTMP_220411120001_F06f05d0.TIF
E,8,3,1,MFGTMP_220411120001/MFGTMP_220411120001_E08f03d1.TIF
B,8,6,2,MFGTMP_220411120001/MFGTMP_220411120001_B08f06d2.TIF
B,9,6,2,MFGTMP_220411120001/MFGTMP_220411120001_B09f06d2.TIF
E,9,3,1,MFGTMP_220411120001/MFGTMP_220411120001_E09f03d1.TIF
C,6,1,1,MFGTMP_220411120001/MFGTMP_220411120001_C06f01d1.TIF
D,6,4,2,MFGTMP_220411120001/MFGTMP_220411120001_D06f04d2.TIF
D,11,2,2,MFGTMP_220411120001/MFGTMP_220411120001_D11f02d2.TIF
C,11,7,1,MFGTMP_220411120001/MFGTMP_220411120001_C11f07d1.TIF
G,6,8,1,MFGTMP_220411120001/MFGTMP_220411120001_G06f08d1.TIF
D,7,4,2,MFGTMP_220411120001/MFGTMP_220411120001_D07f04d2.TIF
C,7,1,1,MFGTMP_220411120001/MFGTMP_220411120001_C07f01d1.TIF
C,10,7,1,MFGTMP_220411120001/MFGTMP_220411120001_C10f07d1.TIF
D,10,2,2,MFGTMP_220411120001/MFGTMP_220411120001_D10f02d2.TIF
G,7,8,1,MFGTMP_220411120001/MFGTMP_220411120001_G07f08d1.TIF
E,3,3,2,MFGTMP_220411120001/MFGTMP_220411120001_E03f03d2.TIF
B,3,6,1,MFGTMP_220411120001/MFGTMP_220411120001_B03f06d1.TIF
B,2,6,1,MFGTMP_220411120001/MFGTMP_220411120001_B02f06d1.TIF
E,2,3,2,MFGTMP_220411120001/MFGTMP_220411120001_E02f03d2.TIF
E,5,6,3,MFGTMP_220411120001/MFGTMP_220411120001_E05f06d3.TIF
B,5,3,0,MFGTMP_220411120001/MFGTMP_220411120001_B05f03d0.TIF
